object_id,ra,dec,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_HST_F125W,flux_HST_F160W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,flux_Spitzer_M1_24,flux_Spitzer_M2_70,flux_DES_g,flux_DES_r,flux_DES_i,flux_DES_z,flux_DES_Y
135d09m40pt25284006s20d53m21pt28761991s,135.16118134445998,20.889246561085816,-999.0,0.4317784952776862,0.29669477803264216,-999.0,-999.0,0.5124530559505689,0.8948182399323512,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d09m15pt42063723s20d53m20pt48862625s,135.15428351034092,20.88902461840209,-999.0,0.27557277053265655,-0.18987841163711086,-999.0,-999.0,-0.05474615795912954,0.1432658845703047,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d08m46pt52043451s20d53m44pt48854338s,135.14625567625336,20.895691262048757,-999.0,0.6701760911584287,0.9902833533118198,-999.0,-999.0,0.30709361370967286,-1.662756846518719,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d08m57pt01028476s20d53m49pt88872938s,135.14916952354343,20.897191313717816,-999.0,-1.8887540616763774,-2.312906205680875,-999.0,-999.0,-0.055219260457692,-0.3712797786991446,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d09m28pt05055642s20d53m15pt68823891s,135.15779182122898,20.887691177475688,-999.0,5.788911322284315,13.882288474456455,-999.0,-999.0,4.286916023506851,4.9678173954024105,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d09m06pt42994093s20d53m57pt68874487s,135.15178609470314,20.899357984685366,-999.0,0.25522708944200084,0.2640293099255205,-999.0,-999.0,0.0036685853687287214,0.3279843053590859,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d09m17pt56217319s20d53m50pt88857857s,135.1548783814411,20.89746904960215,-999.0,-0.37735589193785274,-0.8074564153630512,-999.0,-999.0,-0.0348521557982329,0.09419886930341183,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d09m01pt29197837s20d53m29pt0887543s,135.1503588828811,20.891413542860217,-999.0,60.15952383910399,214.9745533652636,-999.0,-999.0,13.522030901898995,6.928066390812638,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d09m12pt63809763s20d53m40pt88867693s,135.15351058267362,20.89469129914648,-999.0,107.11962257395516,220.41951503578048,-999.0,-999.0,39.18400091876145,75.9173465113,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d08m54pt86939303s20d53m54pt88870579s,135.1485748313986,20.898580196052816,-999.0,21.718818934211242,32.6176354193269,-999.0,-999.0,1.596412125647803,3.2972352014276622,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d08m58pt72285054s20d54m01pt88874269s,135.14964523626062,20.900524650747624,-999.0,8.921130587333003,12.462126524935137,-999.0,-999.0,0.7511472236469262,-2.0238273479466495,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d09m16pt70598875s20d53m56pt48859839s,135.15464055243186,20.899024610664153,-999.0,5.048908440636719,6.022255924203913,-999.0,-999.0,0.06497476530093493,0.08312976366080162,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
135d08m52pt94267089s20d53m53pt0886783s,135.1480396308023,20.898080188417477,-999.0,10.663181343283915,15.538350225555865,-999.0,-999.0,0.45195646117193655,2.39151622832442,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
