object_id,ra,dec,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_HST_F125W,flux_HST_F160W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,flux_Spitzer_M1_24,flux_Spitzer_M2_70,flux_DES_g,flux_DES_r,flux_DES_i,flux_DES_z,flux_DES_Y
8d44m29pt97104791s2d34m00pt39179231s,8.741658624419124,2.5667754978644983,-999.0,5.157573913885725,,-999.0,-999.0,1.4286782368638637,1.3426282521881199,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d44m08pt54961201s2d33m49pt19173596s,8.735708225557154,2.563664371100013,-999.0,2.0475039980792875,,-999.0,-999.0,1.3830537724325662,1.1096034137567574,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d43m55pt93713655s2d33m29pt99165659s,8.732204760152287,2.5583310157194243,-999.0,8.552034658925919,,-999.0,-999.0,0.6375998349133798,10.126377161790723,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d43m58pt33951374s2d33m32pt39167439s,8.73287208715128,2.5589976873294926,-999.0,7.8900997797384695,,-999.0,-999.0,0.7473104902080953,0.2748605589753753,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
12d54m12pt50705881s27d19m41pt07114923s,12.903474183002112,27.32807531923052,-999.0,-999.0,-999.0,-999.0,-999.0,-0.6723794205417045,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
12d54m57pt08270016s27d19m55pt67132128s,12.915856305599698,27.33213092257833,-999.0,-999.0,-999.0,-999.0,-999.0,0.5603054218280332,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
12d54m34pt1191408s27d19m39pt47172348s,12.9094775391105,27.32763103430021,-999.0,-999.0,-999.0,-999.0,-999.0,0.4414940569463642,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17d52m26pt11573256s8d55m40pt5527223s,17.873921036823326,8.927931311749049,-999.0,-999.0,-999.0,-999.0,-999.0,-0.21952470605463925,2.6617127256485853,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17d53m07pt61874487s8d56m05pt75307645s,17.885449651352566,8.934931410123806,-999.0,-999.0,-999.0,-999.0,-999.0,0.5594248643065918,0.45425469880332237,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m55pt80557939s-21d55m31pt49246619s,24.51550154983111,-21.925414573940937,-999.0,-999.0,-999.0,-999.0,-999.0,40.563483739703294,37.76362248291358,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m59pt90139654s-21d55m09pt49240601s,24.51663927681674,-21.919303446115237,-999.0,-999.0,-999.0,-999.0,-999.0,0.5370967495621941,1.0121220165984008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d31m02pt27310359s-21d55m20pt2923582s,24.51729808432936,-21.922303432833232,-999.0,-999.0,-999.0,-999.0,-999.0,2.116234669764493,2.8484618232357373,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m35pt75502313s-21d55m44pt49235452s,24.50993195086999,-21.929025654033342,-999.0,-999.0,-999.0,-999.0,-999.0,12.697534146792188,14.372655803433675,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m37pt04859018s-21d55m45pt69238209s,24.51029127504925,-21.929358995024447,-999.0,-999.0,-999.0,-999.0,-999.0,8.652275702812762,8.205570685157282,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m57pt53061573s-21d55m48pt89244417s,24.5159807265927,-21.93024790115726,-999.0,-999.0,-999.0,-999.0,-999.0,72.43022985309364,97.36267337130141,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d31m00pt33295145s-21d55m27pt09239796s,24.51675915317996,-21.924192332766825,-999.0,-999.0,-999.0,-999.0,-999.0,9.127672554371673,8.96522913953871,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m58pt17739765s-21d55m47pt69243466s,24.516160388235388,-21.929914565184216,-999.0,-999.0,-999.0,-999.0,-999.0,49.57789896331026,78.11942580807627,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m53pt43392294s-21d55m16pt69248821s,24.514842756371863,-21.92130346894596,-999.0,-999.0,-999.0,-999.0,-999.0,-0.8732878950930655,-1.0120217659668571,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25d00m17pt15509315s-5d55m07pt39686965s,25.004765303652032,-5.918721352679324,-999.0,10.592390054941841,18.767926492294105,-999.0,-999.0,2.1233023152040915,1.9458224669137745,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25d01m39pt35696146s-34d10m31pt20016587s,25.02759915596234,-34.175333379408116,-999.0,-0.23799891494535885,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25d01m36pt45600265s-34d10m26pt6001902s,25.026793334068856,-34.17405560838989,-999.0,-0.19139864810240842,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
28d07m52pt64210062s-28d53m03pt97154321s,28.13128947239406,-28.884436539781305,-999.0,-0.05593539733946411,-0.007010139748353109,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
28d07m06pt27061441s-28d53m28pt16925471s,28.11840850400225,-28.891158126309534,-999.0,1.5142566422192358,2.4298381413463317,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
28d07m28pt65921543s-28d52m52pt17091043s,28.124627559841763,-28.881158586229237,-999.0,0.06560411203800096,0.2912112022488175,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
29d46m00pt19654s-34d13m31pt49453773s,29.76672126111145,-34.225415149368395,-999.0,-999.0,-999.0,-999.0,-999.0,0.2995381730634301,0.31688981647153197,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d19m31pt98968793s-52d45m42pt50028208s,34.32555269109046,-52.761805633911635,-999.0,-999.0,-999.0,-999.0,-999.0,2.1207227785355185,1.8304758941728076,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d18m39pt1087464s-52d45m32pt50304245s,34.310863540665665,-52.75902862290355,-999.0,-999.0,-999.0,-999.0,-999.0,2.0508581232971372,1.9311601185927902,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d18m15pt97052766s-52d45m56pt5021961s,34.3044362576841,-52.76569505447286,-999.0,-999.0,-999.0,-999.0,-999.0,9.67869073858342,10.98408194939619,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d34m55pt73093721s-31d41m56pt42873486s,34.58214748255707,-31.699007981905503,-999.0,-999.0,-999.0,-999.0,-999.0,2.1704137891614885,0.1289977728008435,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d34m31pt75522611s-31d41m36pt42835792s,34.57548756280794,-31.69345232164579,-999.0,-999.0,-999.0,-999.0,-999.0,8.567318551097975,4.480656419711908,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d34m43pt74198831s-31d42m20pt22870196s,34.578817218975026,-31.705619083879014,-999.0,-999.0,-999.0,-999.0,-999.0,0.24924254616673994,-0.15109065487562653,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m43pt56908128s-44d20m30pt25594442s,38.07876918924535,-44.34173776233986,0.7778011353008838,2.5722433123508766,6.211880841020574,7.388719426682122,9.511899382216265,4.8617798384740345,0.23235813236364194,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m51pt11588217s-44d21m05pt45641969s,38.08086552282515,-44.35151567213619,0.29915091949900224,0.06071874298623967,-0.4211851226496165,-2.1327012615341685,-0.06805544655957552,0.1592218035932458,-0.09268503635226354,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m52pt23490236s-44d21m03pt05647846s,38.08117636176589,-44.350849021793245,0.1430798199872082,-0.010681172834895666,-0.4322406100986502,-0.8493196273005267,-0.817952888215359,0.10227727942060409,0.11643598671143122,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m38pt81394627s-44d20m37pt055574s,38.077448318407335,-44.34362654833203,0.0927231538410339,0.06920204991282247,-0.20928131711638848,0.07825953785962347,2.145178491423433,0.20995365073692632,0.208863851970229,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m57pt55184527s-44d20m25pt65671619s,38.08265329035348,-44.34046019894167,7.367540168817586,14.119956965625683,19.831070844650167,23.902096406358826,27.86970215932162,1.1214950359068043,1.2763947892890732,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m12pt5165831s-44d21m10pt25253581s,38.07014349530422,-44.35284792661314,1.7336036660304723,2.976528569181042,3.5322565947863267,2.8691878489016465,3.4808879524632954,0.14846846228881797,0.3183128686473187,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m36pt85454668s-44d20m47pt45540542s,38.076904040744495,-44.34651539039307,14.388633323664527,84.42889154218284,197.22404620286835,412.1225237459575,528.3134740511958,30.356899299302675,27.524599796118974,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d46m56pt37672986s-20d26m43pt35221169s,4.782326869404984,-20.44537561435892,-999.0,-1.305967615038237,-2.5942271846329734,-999.0,-999.0,-1.7577389435969126,-2.697551289730326,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d47m15pt15971359s-20d26m34pt5520152s,4.787544364885602,-20.442931115334577,-999.0,-0.6006986781373285,-0.16103357393599932,-999.0,-999.0,0.38083725997990664,-0.9741014236180012,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d46m59pt15152699s-20d26m28pt35221793s,4.78309764638728,-20.441208949424723,-999.0,80.28723989271671,187.76467150931927,-999.0,-999.0,30.57428148808793,28.23573889590311,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
224d52m11pt15052862s-18d11m12pt00763245s,224.8697640357269,-18.18666878679031,-999.0,-999.0,0.8788308215936951,-999.0,-999.0,0.926396390728148,0.6765528623507819,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
224d52m15pt36113317s-18d10m25pt20766811s,224.8709336481024,-18.173668796698543,-999.0,-999.0,-0.16380880904062256,-999.0,-999.0,-0.08580070511281024,-0.24148649793304863,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
224d52m14pt93999625s-18d10m45pt80766572s,224.870816665625,-18.1793910182554,-999.0,-999.0,99.78369330994803,-999.0,-999.0,17.529453567094944,12.900885784612733,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
224d52m16pt41356234s-18d10m42pt80767292s,224.87122598953792,-18.178557686921437,-999.0,-999.0,99.78659617599874,-999.0,-999.0,17.313902497861765,17.274704340368167,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
224d52m28pt20175298s-18d10m30pt40761811s,224.8745004869401,-18.17511322725368,-999.0,-999.0,9.914112585895316,-999.0,-999.0,0.6877922247964696,0.37323550397106486,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
57d56m48pt79154107s-73d58m48pt60684687s,57.94688653918589,-73.98016856857441,-999.0,-999.0,-999.0,-999.0,-999.0,-0.11674290242558281,-0.1528478391083034,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
57d57m19pt18502289s-73d58m03pt20516538s,57.955329173023635,-73.96755699038196,-999.0,-999.0,-999.0,-999.0,-999.0,-0.11832552318604911,-10.912311739993058,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
57d56m58pt90723155s-73d58m01pt20641911s,57.949696453207565,-73.96700178308524,-999.0,-999.0,-999.0,-999.0,-999.0,-1.6309010469302607,-8.042879868269507,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
57d56m53pt83982568s-73d58m04pt00664979s,57.94828884046664,-73.96777962494207,-999.0,-999.0,-999.0,-999.0,-999.0,-3.2659988726464806,32.78961233978534,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
77d34m26pt41964476s-45d19m21pt89816852s,77.574005456878,-45.32274949125679,-999.0,36.295224613660295,63.36271735286758,-999.0,-999.0,8.118480212270002,8.500942166859852,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
77d33m52pt28579072s-45d19m21pt29705831s,77.56452383075523,-45.32258251619784,-999.0,5.823955004469422,12.16023247239672,-999.0,-999.0,3.019466919059135,3.3801973890633152,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
77d34m16pt46489436s-45d18m50pt09813663s,77.57124024843284,-45.313916149064454,-999.0,5.00756292847872,9.147816165462624,-999.0,-999.0,1.5245864394979638,1.604268871364142,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
86d54m02pt06828667s-31d52m21pt54405832s,86.90057452407386,-31.8726511273119,-999.0,3.0888556724732426,-999.0,-999.0,-999.0,0.13029684817504958,-17.763845249009588,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
91d28m01pt55559375s-35d18m25pt74619137s,91.46709877604256,-35.30715171982486,-999.0,-999.0,-999.0,-999.0,-999.0,0.3806079050789781,-0.1721750533706912,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
91d28m58pt16999931s-35d17m42pt95100288s,91.4828249998071,-35.29526416746644,-999.0,-999.0,-999.0,-999.0,-999.0,0.1661447563646531,0.1894298778601068,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
91d28m53pt02331169s-35d17m59pt55086774s,91.48139536435896,-35.299875241038585,-999.0,-999.0,-999.0,-999.0,-999.0,-0.09287287724519444,-0.30860410099624563,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
