object_id,ra,dec,key,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
4d45m39pt2142948s-40d51m33pt60754707s,4.760892859665771,-40.85933542974102,macs0018m40,0.011888457973196258,0.0004863823730475461,0.0009166185206881508,0.1042409062630866,0.0007995578525622573
4d45m51pt11481506s-40d51m45pt80729101s,4.764198559739286,-40.862724247501895,macs0018m40,0.07528850319797195,0.003408154912542821,0.005902678149272519,0.5405638813623357,0.008090455311813538
4d45m49pt52797661s-40d51m43pt60734478s,4.763757771280492,-40.862113151328316,macs0018m40,0.07307748598729422,0.0033818701276880506,0.005841991604147353,0.5156984924691009,0.008070344315364176
6d51m29pt34954568s26d06m43pt24716465s,6.8581526515791404,26.11201310129174,macs0027p26a,0.016608873275191588,0.0006022245368325626,0.0009662435766369278,0.07207183037395852,0.0012177708264315443
6d51m53pt18242635s26d07m25pt44751243s,6.864772896208636,26.12373542011841,macs0027p26a,-0.0032955913573001427,-0.00014669998173744714,-0.0003405230589094771,0.029687888738264084,-0.0008679192555823345
6d55m59pt84380653s26d16m16pt59913458s,6.933289946256946,26.271277537384236,macs0027p26b,-0.0038785089657388484,-0.000268897260408084,-0.0005455564912034043,-0.057501084170365556,-0.0007976203246728579
6d56m17pt01762799s26d16m09pt99921007s,6.938060452220176,26.26944422501862,macs0027p26b,0.022010912025005654,0.0006909818247464974,0.001035086260456039,0.07795531397383379,0.0008239832526889427
7d01m34pt1974354s-75d38m08pt43216435s,7.026165954278846,-75.63567560120777,macs0028m75,0.6473461411008214,0.033530136834696835,0.060066033753981306,5.271180905154624,0.10445649240427088
8d02m47pt09655564s18d08m51pt60579824s,8.046415709899861,18.147668277288183,macs0032p18,-0.0033058803965667636,-0.00024174630186634302,-0.00043317689551851325,0.0021339897173600457,-0.0008586657136837372
8d02m35pt52050175s18d08m58pt20551832s,8.043200139374601,18.149501532867337,macs0032p18,-0.004865771911228495,-0.0002800111578170442,-0.000452649244387625,-0.0864289304248758,-0.0009758898494315218
8d03m05pt19704876s18d09m02pt80585028s,8.051443624655189,18.15077940285534,macs0032p18,0.05462607440868661,0.0026078457117302695,0.004685477246972391,0.4298259733606609,0.008040150664483913
8d28m12pt32957902s-7d52m32pt20133609s,8.47009154972909,-7.875611482247887,macs0033m07,-0.008731128486740479,-0.0002603444164387699,-0.00044637394366409675,-0.023228914358249735,-0.0007219018350319554
8d27m50pt12046461s-7d52m03pt00122377s,8.46392235128097,-7.867500339937108,macs0033m07,0.009654011788632667,0.0007424015314981263,0.0014244263691701121,0.28234287322774215,0.003240884235200685
8d28m41pt604992s-7d51m59pt20098902s,8.478223608888783,-7.866444719172139,macs0033m07,0.031150656063132973,0.0015289794112264775,0.0027288264959783896,0.2516687009050909,0.004255247602022954
8d28m23pt63602941s-7d52m12pt40126884s,8.47323223039076,-7.870111463567701,macs0033m07,0.02218348737984643,0.0017102384544758706,0.003357892005047775,0.34593973421149443,0.0059016074676526645
8d37m19pt76273492s2d25m00pt32498946s,8.622156315256571,2.416756941516139,macs0034p02a,-0.0071668596059375495,0.00017151214637026497,0.0005522855415272612,0.047968442957735884,0.0010861577203510587
8d36m52pt73873908s2d25m14pt32514144s,8.614649649744297,2.4206458726225755,macs0034p02a,-0.014896801620108225,-0.0005418436898742549,-0.0009442431663682658,-0.09020935057869173,-0.001817133866636601
8d36m53pt7396396s2d25m16pt72513846s,8.614927677665994,2.4213125384601866,macs0034p02a,0.06007388775592027,0.003823368197812896,0.007137928910092244,0.6730973538258582,0.012013604193873935
