z, sfr
0.4192967743255129, 0.8783282022576735
0.3873127561073725, 0.6249463569362814
0.3873127561073725, 0.6249463569362814
0.39941500132954244, 0.684093665453867
0.42689221160860996, 0.6851012221289299
0.42689221160860996, 0.6851012221289299
0.44433308106117936, 0.5885250489784495
0.4064990761384633, 0.43560033585222513
0.3989172751880109, 0.26662934975277564
0.3989172751880109, 0.26662934975277564
0.4084490717066552, 0.2754734583449947
0.4084490717066552, 0.2754734583449947
0.43720127908800205, 0.38104300774325983
0.44716262008495433, 0.3098050191249184
0.43853082152086015, 0.177815094691669
0.43540128317890187, 0.11015952980688493
0.48074890738884685, 0.08261964735516392
0.4750830111749746, 0.1715458531579439
0.4797602732721062, 0.3152906054669278
0.4797602732721062, 0.3152906054669278
0.4605534987420483, 0.27774979009235956
0.4617466778484594, 0.40085828901949805
0.48419889954795553, 0.5190782722268867
0.48419889954795553, 0.5190782722268867
0.5058602139540592, 0.4926952141057934
0.4691921154724648, 0.8597070622259539
0.4691921154724648, 0.8597070622259539
0.48263072129381523, 0.7750723015206642
0.48263072129381523, 0.7750723015206642
0.4661171224610853, 0.7237615449202353
0.4661171224610853, 0.7237615449202353
0.49893977513687465, 1.0986472618714433
0.5198442730811975, 1.0218863699972012
0.5198442730811975, 1.0218863699972012
0.5299692500698862, 1.076033212053363
0.5403874082104358, 1.154622632708275
0.5632964470535294, 1.140069036290699
0.5632964470535294, 1.140069036290699
0.5035420374044605, 0.8033212053363186
0.5035420374044605, 0.8033212053363186
0.5377010506794303, 0.700811642877134
0.5533214697239324, 0.6478589420654912
0.5697873413924059, 0.697042634574121
0.5697873413924059, 0.697042634574121
0.5456169417796778, -0.13818453213919213
0.5946531939700137, 1.2996361600895607
0.6068986206849529, 1.2753055322324842
0.6815370874157104, 1.3712846347607055
0.6815370874157104, 1.3712846347607055
0.6853484423899037, 1.1714898777871072
0.672959834182195, 1.204552663494729
0.6771666428030845, 0.4611997387816027
0.6575644146263304, 0.5473644929564325
0.6575644146263304, 0.5473644929564325
0.6427621755405101, 0.5323257766582703
0.6427621755405101, 0.5323257766582703
0.6344985579578228, 0.4616848586621889
0.5660373499151138, 0.3800354510681965
0.5702646130349703, 0.50023323071182
0.5702646130349703, 0.50023323071182
0.5897372960515999, 0.50023323071182
0.5897372960515999, 0.50023323071182
0.6048258981229588, 0.49097863606679715
0.6039463546673757, 0.6029293777404607
0.6039463546673757, 0.6029293777404607
0.593623650855339, 0.6464782162515159
0.593623650855339, 0.6464782162515159
0.5879577546414667, 0.5874801753894952
0.5879577546414667, 0.5874801753894952
0.5934668330299249, 1.0253568429890847
0.5934668330299249, 1.0253568429890847
0.6209644978079595, 0.7986939080138074
0.6122781539132865, 1.0895046179680943
0.6122781539132865, 1.0895046179680943
0.6213667696209781, 0.9780389961750164
0.6292826607212256, 1.081518798395373
0.6447735346056032, 1.149771433902416
0.6447735346056032, 1.149771433902416
0.6474939829682205, 1.0303199925366173
0.6474939829682205, 0.9484840003731692
0.6744598307731119, 0.734359548465342
0.6744598307731119, 0.734359548465342
0.6589007752255108, 0.7207761918089375
0.6844143536037418, 0.8135833566564044
0.6971915972918243, 0.6879373075846629
0.6971915972918243, 0.6879373075846629
0.726018804502717, 0.6513294150573747
0.726018804502717, 0.6513294150573747
0.7596528189708659, 0.6905494915570483
0.7596528189708659, 0.6905494915570483
0.7639619000865907, 0.5790838697639704
0.7793368651434883, 0.9242653232577664
0.7537551051020338, 0.9210560686631215
0.7465278488003436, 0.9936374661815468
0.7250915338828775, 0.9950928258233045
0.7250915338828775, 0.9950928258233045
0.7196642734902875, 0.9570295736542587
0.729905159306456, 1.1692508629536338
0.7516414735421055, 1.0965201977796437
0.7385301397042279, 1.0987592126131172
0.730702884766171, 1.0809217277731133
0.730702884766171, 1.0809217277731133
0.7196642734902875, 0.9570295736542587
0.7196642734902875, 0.9570295736542587
0.7625369033252197, 1.0492396678794664
0.8024504489762523, 0.8687004384737382
0.8024504489762523, 0.8687004384737382
0.7967095529328342, 0.7886929750909601
0.8104617944050126, 0.8223528314208415
0.8176617780414135, 0.9210933855770129
0.8243572173699605, 0.9443791398451347
0.8243572173699605, 0.9443791398451347
0.817300415226329, 1.11443231644743
0.817300415226329, 1.11443231644743
0.7610164522353358, 1.2713126224461235
0.8123163356446916, 1.4056161955406288
0.8123163356446916, 1.4056161955406288
0.838989002297722, 1.4078178934602108
0.8495912509289751, 1.4914450974904376
0.8495912509289751, 1.4914450974904376
0.8601730450612611, 1.5454799888049258
0.9158501912495653, 1.3981528127623846
