intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,distance
science,HLSP,TASOC,Photometer,TESS,TESS,Optical,32314533,,hlsp_tasoc_tess_ffi_tic00032314533-s0003-cam2-ccd4-c1800_tess_v05,25.0916165068087,-34.2045287958335,timeseries,Rasmus Handberg,4,58381.54656032877,58408.87973607952,1800.0,600.0,1000.0,,59694.0478009,G011160_G011155_G011188,,3,CIRCLE ICRS 25.09161651 -34.20452880 0.00111111,,mast:HLSP/tasoc/s0003/c1800/0000/0000/3231/4533/hlsp_tasoc_tess_ffi_tic00032314533-s0003-cam2-ccd4-c1800_tess_v05_cbv-lc.fits,PUBLIC,False,nan,81841298,220.3841302913616
science,HLSP,T16,Photometer,TESS,TESS,OPTICAL,32314533,,hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012274358246866176_tess_v01,25.0917885086,-34.2045158905,timeseries,Joel D. Hartman,4,58385.4477091891,58405.8018710644,1800.0,600.0,1000.0,,60879.78709485,N/A,,3,CIRCLE 25.0917885086 -34.2045158905 0.0011111111111111111,,mast:HLSP/t16/s0003/cam2-ccd4/0050/1227/4358/2468/hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012274358246866176_tess_v01_llc.fits,PUBLIC,False,nan,299171090,220.79858748728756
science,HLSP,TGLC,Photometer,TESS,TESS,Optical,32314533,,hlsp_tglc_tess_ffi_gaiaid-5012274358246866176-s0003-cam2-ccd4_tess_v1_llc,25.09179404857945,-34.20451549255547,timeseries,Timothy D. Brandt,4,58381.55735905583,58408.86952545328,1800.0,600.0,1000.0,,60023.87031241,N/A,,3,CIRCLE 25.09179404857945 -34.20451549255547 0.0011111111111111111,,mast:HLSP/tglc/s0003/cam2-ccd4/0050/1227/4358/2468/hlsp_tglc_tess_ffi_gaiaid-5012274358246866176-s0003-cam2-ccd4_tess_v1_llc.fits,PUBLIC,False,nan,119129651,220.81197405436913
science,HLSP,TGLC,Photometer,TESS,TESS,Optical,32313992,,hlsp_tglc_tess_ffi_gaiaid-5012287758544807552-s0003-cam2-ccd4_tess_v1_llc,24.94572997833205,-34.14034489164811,timeseries,Timothy D. Brandt,4,58381.55735905583,58408.86952545328,1800.0,600.0,1000.0,,60023.87031241,N/A,,3,CIRCLE 24.94572997833205 -34.14034489164811 0.0011111111111111111,,mast:HLSP/tglc/s0003/cam2-ccd4/0050/1228/7758/5448/hlsp_tglc_tess_ffi_gaiaid-5012287758544807552-s0003-cam2-ccd4_tess_v1_llc.fits,PUBLIC,False,nan,119075869,264.43319082726435
science,HLSP,T16,Photometer,TESS,TESS,OPTICAL,32313992,,hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012287758544807552_tess_v01,24.9457236769,-34.1403444109,timeseries,Joel D. Hartman,4,58385.4477091891,58405.8018710644,1800.0,600.0,1000.0,,60879.78712957,N/A,,3,CIRCLE 24.9457236769 -34.1403444109 0.0011111111111111111,,mast:HLSP/t16/s0003/cam2-ccd4/0050/1228/7758/5448/hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012287758544807552_tess_v01_llc.fits,PUBLIC,False,nan,299171112,264.4509118521377
science,HLSP,GSFC-ELEANOR-LITE,Photometer,TESS,TESS,Optical,32313992,,hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032313992_tess_v1.0_lc,24.9455286105151,-34.1403292020137,timeseries,Brian P. Powell,4,58381.546141770836,58408.879141261576,1800.0,600.0,1000.0,,59927.0,N/A,,3,CIRCLE 24.9455286105151 -34.1403292020137 0.0011111111111111111,,mast:HLSP/gsfc-eleanor-lite/s0003/0000/0000/3231/3992/hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032313992_tess_v1.0_lc.fits,PUBLIC,False,nan,104267806,264.9997367920514
science,HLSP,GSFC-ELEANOR-LITE,Photometer,TESS,TESS,Optical,32314007,,hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032314007_tess_v1.0_lc,25.05564235519609,-34.2550131895182,timeseries,Brian P. Powell,4,58381.546141770836,58408.879141261576,1800.0,600.0,1000.0,,59927.0,N/A,,3,CIRCLE 25.05564235519609 -34.2550131895182 0.0011111111111111111,,mast:HLSP/gsfc-eleanor-lite/s0003/0000/0000/3231/4007/hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032314007_tess_v1.0_lc.fits,PUBLIC,False,nan,104270636,305.9765670682745
science,HLSP,T16,Photometer,TESS,TESS,OPTICAL,32314007,,hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012273739771555584_tess_v01,25.0556278343,-34.2550348385,timeseries,Joel D. Hartman,4,58385.4477091891,58405.8018710644,1800.0,600.0,1000.0,,60879.78709485,N/A,,3,CIRCLE 25.0556278343 -34.2550348385 0.0011111111111111111,,mast:HLSP/t16/s0003/cam2-ccd4/0050/1227/3739/7715/hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012273739771555584_tess_v01_llc.fits,PUBLIC,False,nan,299171087,306.03955970611815
science,HLSP,TGLC,Photometer,TESS,TESS,Optical,32314007,,hlsp_tglc_tess_ffi_gaiaid-5012273739771555584-s0003-cam2-ccd4_tess_v1_llc,25.05562737356443,-34.25503553926507,timeseries,Timothy D. Brandt,4,58381.55735905583,58408.86952545328,1800.0,600.0,1000.0,,60023.87031241,N/A,,3,CIRCLE 25.05562737356443 -34.25503553926507 0.0011111111111111111,,mast:HLSP/tglc/s0003/cam2-ccd4/0050/1227/3739/7715/hlsp_tglc_tess_ffi_gaiaid-5012273739771555584-s0003-cam2-ccd4_tess_v1_llc.fits,PUBLIC,False,nan,119129622,306.04160551161533
science,HLSP,GSFC-ELEANOR-LITE,Photometer,TESS,TESS,Optical,10000256375,,hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000010000256375_tess_v1.0_lc,24.96752900000001,-34.09310900000001,timeseries,Brian P. Powell,4,58381.546141770836,58408.879141261576,1800.0,600.0,1000.0,,59927.0,N/A,,3,CIRCLE 24.96752900000001 -34.09310900000001 0.0011111111111111111,,mast:HLSP/gsfc-eleanor-lite/s0003/0000/0100/0025/6375/hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000010000256375_tess_v1.0_lc.fits,PUBLIC,False,nan,104249336,331.7521030577934
science,HLSP,ELEANOR,Photometer,TESS,TESS,Optical,postcard-s0003-2-4-cal-0412-1996,,hlsp_eleanor_tess_ffi_postcard-s0003-2-4-cal-0412-1996_tess_v2_pc,25.4191093714419,-34.4578131071988,image,Benjamin Montet,4,58381.54695146,58408.87995559,1800.0,600.0,1000.0,,58793.05803241,,,3,POLYGON ICRS 25.72385900 -33.99836300 26.04935400 -34.54050300 25.10802800 -34.92393300 24.78760500 -34.37958000,,mast:HLSP/eleanor/postcards/s0003/2-4/hlsp_eleanor_tess_ffi_postcard-s0003-2-4-cal-0412-1996_tess_v2_pc.fits,PUBLIC,False,nan,32141291,358.3558103257453
science,HLSP,ELEANOR,Photometer,TESS,TESS,Optical,postcard-s0003-2-4-cal-0510-1996,,hlsp_eleanor_tess_ffi_postcard-s0003-2-4-cal-0510-1996_tess_v2_pc,24.7919338126709,-34.7107927515238,image,Benjamin Montet,4,58381.54695146,58408.87995559,1800.0,600.0,1000.0,,58793.05803241,,,3,POLYGON ICRS 25.10034700 -34.25344800 25.42249000 -34.79709400 24.47718000 -35.17466000 24.16028600 -34.62898700,,mast:HLSP/eleanor/postcards/s0003/2-4/hlsp_eleanor_tess_ffi_postcard-s0003-2-4-cal-0510-1996_tess_v2_pc.fits,PUBLIC,False,nan,32148670,358.45484506241104
science,HLA,HLA,ACS/WFC,HLA,F606W,OPTICAL,MACSJ0140.0-3410,,hst_10491_14_acs_wfc_f606w,25.026602684677812,-34.180102946869184,image,Ebeling,3,53662.19549,53662.26681,1200.0,470.0,720.0,,53662.41766202,10491,HLA,,POLYGON J2000 25.04433929 -34.14583713 25.04394850 -34.14507530 24.97947760 -34.16223730 24.97986789 -34.16299934 24.99252240 -34.18769900 24.99259731 -34.18767908 24.99298800 -34.18844140 24.99306458 -34.18842104 24.99320736 -34.18869963 24.99258020 -34.18887410 24.99296386 -34.18963888 25.00583990 -34.21529680 25.00592155 -34.21527408 25.00630560 -34.21603910 25.00638865 -34.21601599 25.00677270 -34.21678100 25.07167269 -34.19870378 25.07175510 -34.19868080 25.05847730 -34.17226510 25.05839484 -34.17228809 25.05801040 -34.17152300 25.05792828 -34.17154590 25.05754410 -34.17078130 25.05734022 -34.17083815 25.04488170 -34.14655920 25.04480589 -34.14657940 25.04441480 -34.14581700 25.04433929 -34.14583713,https://hla.stsci.edu/cgi-bin/preview.cgi?dataset=hst_10491_14_acs_wfc_f606w,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10491_14_acs_wfc_f606w_drz.fits,PUBLIC,,1352.0,25702340,0.0
science,HLA,HLA,ACS/WFC,HLA,DETECTION,,MACSJ0140.0-3410,,hst_10491_14_acs_wfc_total,25.026602684677812,-34.180102946869184,image,Ebeling,3,53662.19549,53662.26681,1200.0,nan,nan,,53662.41766202,10491,HLA,,POLYGON J2000 25.04394850 -34.14507530 24.97947760 -34.16223730 24.97986789 -34.16299934 24.99252240 -34.18769900 24.99259731 -34.18767908 24.99298800 -34.18844140 24.99306458 -34.18842104 24.99320736 -34.18869963 24.99258020 -34.18887410 24.99296386 -34.18963888 25.00583990 -34.21529680 25.00592155 -34.21527408 25.00630560 -34.21603910 25.00638865 -34.21601599 25.00677270 -34.21678100 25.07167269 -34.19870378 25.07175510 -34.19868080 25.05847730 -34.17226510 25.05839484 -34.17228809 25.05801040 -34.17152300 25.05792828 -34.17154590 25.05754410 -34.17078130 25.05734022 -34.17083815 25.04488170 -34.14655920 25.04480589 -34.14657940 25.04441480 -34.14581700 25.04433929 -34.14583713 25.04394850 -34.14507530,https://hla.stsci.edu/cgi-bin/preview.cgi?dataset=hst_10491_14_acs_wfc_total,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10491_14_acs_wfc_total_drz.fits,PUBLIC,,1352.0,25702341,0.0
science,GALEX,MIS,GALEX,MIS,NUV,UV,MIS2DFSGP_42117_0510,,2466250898293129216,25.113561002040285,-33.8823895657133,image,,2,55881.626458333325,55881.63862268518,1051.25,169.3,300.7,,55992.82343743,,MIS,,CIRCLE ICRS  25.11356100 -33.88238957 0.625,http://galex.stsci.edu/data/GR7/pipe/01-vsn/04559-MIS2DFSGP_42117_0510/d/01-main/0007-img/07-try/qa/MIS2DFSGP_42117_0510-xd-int_2color.jpg,http://galex.stsci.edu/data/GR7/pipe/01-vsn/04559-MIS2DFSGP_42117_0510/d/01-main/0007-img/07-try/MIS2DFSGP_42117_0510-xd-mcat.fits.gz,PUBLIC,,5885.0,923,0.0
science,GALEX,AIS,GALEX,AIS,NUV,UV,AIS_407_1_76,,6385235876531666944,25.126673829058916,-33.898206307156,image,,2,53693.872199074074,53693.87349537037,112.0,169.3,300.7,,55422.19299767,,AIS,,CIRCLE ICRS  25.12667383 -33.89820631 0.625,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50407-AIS_407/d/01-main/0001-img/07-try/qa/AIS_407_sg76-xd-int_2color.jpg,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50407-AIS_407/d/01-main/0001-img/07-try/AIS_407_sg76-nd-exp.fits.gz,PUBLIC,,5885.0,38998,0.0
science,GALEX,AIS,GALEX,AIS,FUV,UV,AIS_407_1_76,,6385235876531666944,25.126673829058916,-33.898206307156,image,,2,53693.872199074074,53693.87349537037,112.0,134.0,180.6,,55422.19299767,,AIS,,CIRCLE ICRS  25.12667383 -33.89820631 0.625,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50407-AIS_407/d/01-main/0001-img/07-try/qa/AIS_407_sg76-xd-int_2color.jpg,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50407-AIS_407/d/01-main/0001-img/07-try/AIS_407_sg76-fd-cnt.fits.gz,PUBLIC,,5885.0,38998,0.0
science,GALEX,AIS,GALEX,AIS,NUV,UV,AIS_407_1_77,,6385235877605408768,25.02885673115162,-34.8110814400422,image,,2,53693.86025462963,54070.57680555555,274.05,169.3,300.7,,55422.18137731,,AIS,,CIRCLE ICRS  25.02885673 -34.81108144 0.625,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50407-AIS_407/d/01-main/0001-img/07-try/qa/AIS_407_sg77-xd-int_2color.jpg,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50407-AIS_407/d/01-main/0001-img/07-try/AIS_407_sg77-nd-int.fits.gz,PUBLIC,,5885.0,38999,56.302291650807035
science,GALEX,AIS,GALEX,AIS,FUV,UV,AIS_407_1_77,,6385235877605408768,25.02885673115162,-34.8110814400422,image,,2,54044.82540509259,54070.57680555555,163.05,134.0,180.6,,55422.18137731,,AIS,,CIRCLE ICRS  25.02885673 -34.81108144 0.625,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50407-AIS_407/d/01-main/0001-img/07-try/qa/AIS_407_sg77-xd-int_2color.jpg,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50407-AIS_407/d/01-main/0001-img/07-try/AIS_407_sg77-fd-cnt.fits.gz,PUBLIC,,5885.0,38999,56.302291650807035
