object_id,ra,dec,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
4d47m15pt15971359s-20d26m34pt5520152s,4.787544364885602,-20.442931115334574,0.0,0.0,0.0,0.0,0.0
4d46m59pt15152699s-20d26m28pt35221793s,4.78309764638728,-20.441208949424723,0.0,0.0,0.0,0.0,0.0
224d52m11pt15052862s-18d11m12pt00763245s,224.8697640357269,-18.186668786790314,0.0,0.0,0.0,0.0,0.0
224d52m15pt36113317s-18d10m25pt20766811s,224.87093364810238,-18.173668796698543,0.0,0.0,0.0,0.0,0.0
224d52m14pt93999625s-18d10m45pt80766572s,224.870816665625,-18.179391018255398,0.0,0.0,0.0,0.0,0.0
224d52m16pt41356234s-18d10m42pt80767292s,224.87122598953792,-18.178557686921437,0.0,0.0,0.0,0.0,0.0
224d52m28pt20175298s-18d10m30pt40761811s,224.8745004869401,-18.175113227253682,0.0,0.0,0.0,0.0,0.0
57d56m48pt79154107s-73d58m48pt60684687s,57.94688653918589,-73.98016856857441,0.0,0.0,0.0,0.0,0.0
57d57m19pt18502289s-73d58m03pt20516538s,57.955329173023635,-73.96755699038196,0.0,0.0,0.0,0.0,0.0
57d56m58pt90723155s-73d58m01pt20641911s,57.949696453207565,-73.96700178308524,0.0,0.0,0.0,0.0,0.0
57d56m53pt83982568s-73d58m04pt00664979s,57.94828884046664,-73.96777962494207,0.0,0.0,0.0,0.0,0.0
77d34m26pt41964476s-45d19m21pt89816852s,77.574005456878,-45.32274949125679,0.0,0.0,0.0,0.0,0.0
77d33m52pt28579072s-45d19m21pt29705831s,77.56452383075523,-45.32258251619784,0.0,0.0,0.0,0.0,0.0
77d34m16pt46489436s-45d18m50pt09813663s,77.57124024843284,-45.313916149064454,0.0,0.0,0.0,0.0,0.0
86d54m02pt06828667s-31d52m21pt54405832s,86.90057452407386,-31.8726511273119,0.0,0.0,0.0,0.0,0.0
91d28m01pt55559375s-35d18m25pt74619137s,91.46709877604255,-35.30715171982486,0.0,0.0,0.0,0.0,0.0
