I,ID,X_PEAK_SN,Y_PEAK_SN,Z_PEAK_SN,DETSN_MAX,Identification,Short,Comment,Redshift,Quality,Confidence,Association,key,cluster,zcluster,dir
8284,180,258.0,153.0,2440.0,8.125426292419434,Ha,Ha,-,0.18853,c,0,-,rxj0331m21,RXCJ0331.1-2100,0.19276,cubes_new
8032,181,294.0,36.0,2762.0,15.593745231628418,OIII 2,O3_2,-,0.63818,a,3,-,macs0152m28,MACSJ0152.5-2853,nan,cubes
731,182,173.0,154.0,2898.0,16.668071746826172,NII 2,N2_2,-,0.27181,c,0,-,s26,AbellS26,0.272,cubes
4581,183,129.0,81.0,2586.0,24.431621551513672,Lya,Lya,-,5.5679,c,0,-,rxj0232m44,RXCJ0232.2-4420,0.2836,cubes
5690,184,71.0,47.0,2596.0,22.985233306884766,Lya,Lya,-,5.57847,c,0,-,macs0034p02a,MACS0034.4+0225,0.382,cubes
9284,185,153.0,239.0,2654.0,18.397024154663086,Ha,Ha,-,0.22924,a,3,-,z2089,Zw2089,nan,cubes_new
3313,186,45.0,197.0,2400.0,28.681438446044922,Lya,Lya,-,5.37668,c,0,-,macs0611m30,MACSJ0611.8-3036,nan,cubes_new
8714,187,134.0,268.0,2447.0,28.644365310668945,Lya,Lya,-,5.42479,a,3,-,rxj0437p00,RXCJ0437.1+0043,0.2842,cubes_new
6295,188,260.0,58.0,3259.0,16.8547306060791,Ha,Ha,-,0.34453,c,0,-,macs0217m52,MACSJ0217.2-5244,nan,cubes
5144,189,145.0,163.0,3153.0,13.500733375549316,Lya,Lya,-,6.15106,c,0,-,macs0449m28,MACSJ0449.3-2848,nan,cubes_new
9300,190,159.0,59.0,1239.0,12.719440460205078,Lya,Lya,-,4.18252,c,0,-,z2089,Zw2089,nan,cubes_new
7822,191,190.0,51.0,2943.0,27.465539932250977,Lya,Lya,-,5.93542,c,0,-,macs0033m07,MACS0035.4-2015,0.352,cubes
3325,192,249.0,124.0,2486.0,13.74889850616455,OII,O2,-,1.10717,a,3,-,macs0611m30,MACSJ0611.8-3036,nan,cubes_new
5701,193,206.0,117.0,2944.0,13.212128639221191,Lya,Lya,-,5.93639,a,3,-,macs0034p02a,MACS0034.4+0225,0.382,cubes
4616,194,184.0,159.0,2994.0,9.540751457214355,Ha,Ha,-,0.29399,a,3,-,rxj0232m44,RXCJ0232.2-4420,0.2836,cubes
11512,195,274.0,296.0,2024.0,16.504638671875,Hb,Hb,-,0.49744,c,0,-,rxj0439p07,RXCJ0439.0+0716,nan,cubes_new
4920,196,65.0,76.0,2974.0,26.963565826416016,Lya,Lya,-,5.96704,c,0,-,macs0553m33a,MACSJ0553.4-3342A,nan,cubes_new
4628,197,177.0,211.0,3580.0,20.114097595214844,Lya,Lya,-,6.59025,c,0,-,rxj0232m44,RXCJ0232.2-4420,0.2836,cubes
7222,198,62.0,175.0,2804.0,12.2615327835083,Ha,Ha,-,0.25787,c,0,-,macs0018m40,MACSJ0018.9-4051,nan,cubes
7223,199,68.0,186.0,2808.0,8.845416069030762,Ha,Ha,-,0.25863,c,0,-,macs0018m40,MACSJ0018.9-4051,nan,cubes
6968,200,39.0,116.0,3326.0,12.878990173339844,MgII 1,Mg2_1,-,2.18638,c,0,-,macs0326m00,MACS0326.8-0043,0.25,cubes_new
4927,201,249.0,236.0,3006.0,42.4056282043457,Lya,Lya,-,5.99995,c,0,-,macs0553m33a,MACSJ0553.4-3342A,nan,cubes_new
8790,202,105.0,299.0,2998.0,15.225750923156738,OII,O2,-,1.27872,a,3,-,rxj0437p00,RXCJ0437.1+0043,0.2842,cubes_new
7027,203,193.0,250.0,2811.0,22.151296615600586,Ha,Ha,-,0.25921,a,3,-,macs0529m31,MACSJ0529.7-3145,nan,cubes_new
9735,204,183.0,52.0,2908.0,50.285545349121094,Lya,Lya,-,5.899,c,0,-,macs0051p27,MACSJ0051.6+2720,nan,cubes
