object_id,ra,dec,flux_HST_F275W,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_HST_F125W,flux_HST_F160W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,flux_Spitzer_I4_8.0,flux_Spitzer_M1_24
6d55m56pt13s26d16m02pt84s,6.9322583333333325,26.267455555555554,-999.0,-999.0,-0.2848800569799843,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7d03m32pt925s-75d37m59pt602s,7.059145833333333,-75.63322277777777,-999.0,-999.0,3.101949365675077,4.18482618305879,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7d01m01pt38s-75d37m22pt757s,7.017049999999999,-75.62298805555555,-999.0,-999.0,2.333944302788521,3.1332351909783465,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7d04m12pt555s-75d37m54pt293s,7.070154166666666,-75.63174805555555,-999.0,-999.0,1.1541367923204737,1.6300810937060168,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7d01m44pt475s-75d37m58pt35s,7.029020833333333,-75.632875,-999.0,-999.0,0.5069438884790959,1.0522601275480887,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d28m41pt88s-7d51m59pt549s,8.478299999999999,-7.866541388888889,-999.0,-999.0,-999.0,11.810823616893371,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d28m02pt205s-7d52m20pt125s,8.467279166666666,-7.872256944444445,-999.0,-999.0,-999.0,1.0502240732272603,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d28m38pt715s-7d51m40pt821s,8.477420833333332,-7.861339166666666,-999.0,-999.0,-999.0,0.36442119581219756,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d37m02pt79s2d24m57pt689s,8.617441666666666,2.416024722222222,-999.0,-999.0,,0.749335221842708,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d37m21pt135s2d25m43pt101s,8.622537499999998,2.4286391666666667,-999.0,-999.0,,0.8576071665883748,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d44m20pt61s2d33m16pt81s,8.739058333333332,2.5546694444444444,-999.0,-999.0,0.5014021833662419,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d44m45pt72s2d34m00pt454s,8.746033333333331,2.5667927777777777,-999.0,-999.0,0.25760714682208985,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d51m41pt55s-20d15m44pt023s,8.861541666666666,-20.262228611111112,-999.0,-0.07476662671886741,0.707921551958099,0.39539214938932354,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10d32m44pt1s-28d32m04pt231s,10.545583333333331,-28.53450861111111,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10d51m29pt295s-20d36m50pt04s,10.8581375,-20.6139,-999.0,0.3533157959366494,0.24014305879487882,0.5400924173429972,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
22d57m55pt32s-13d37m11pt705s,22.96536666666666,-13.619918055555557,116.91315540992184,0.5796692150123965,-0.0011644416289347606,0.12422707162477836,,,-999.0,-999.0,-999.0,-999.0
24d30m30pt195s-21d55m03pt284s,24.5083875,-21.91757888888889,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m27pt42s-21d55m04pt409s,24.507616666666664,-21.91789138888889,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24d30m31pt845s-21d55m29pt888s,24.50884583333333,-21.92496888888889,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25d00m32pt685s-5d55m30pt293s,25.009079166666663,-5.92508138888889,-999.0,-999.0,0.6086844122773063,1.630894538868758,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25d01m58pt62s-34d10m37pt121s,25.032949999999992,-34.17697805555555,-999.0,-999.0,0.7434529975255969,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25d01m37pt92s-34d10m19pt922s,25.027199999999993,-34.172200555555555,-999.0,-999.0,0.9064975492344184,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
