Cardamone,,Brunker,,Ding,,eBOSS,
X,Y,X,Y,X,Y,X,Y
213.50762527233155,0.62937062937063,,,278.86710239651484,0.4335664335664342,17.42919389978215,-1.7622377622377616
183.00653594771302,0.6573426573426575,,,244.00871459695054,0.5454545454545459,8.71459694989153,-1.7342657342657342
322.44008714596976,1.7482517482517475,,,270.1525054466233,0.6433566433566433,8.71459694989153,-1.4965034965034967
,,,,270.1525054466233,0.7412587412587417,8.71459694989153,-1.3566433566433567
,,,,270.1525054466233,0.9510489510489517,17.42919389978215,-1.384615384615385
,,,,2222.2222222222226,0.8811188811188808,21.786492374727914,-1.4545454545454541
,,,,1655.7734204793032,1.104895104895105,26.143790849673223,-1.4965034965034967
,,,,1172.1132897603488,0.8531468531468533,34.85838779956475,-1.5664335664335658
,,,,923.7472766884534,0.40559440559440585,52.2875816993469,-1.5244755244755241
,,,,880.1742919389981,0.7552447552447559,56.64488017429221,-1.4825174825174816
,,,,819.1721132897605,0.5034965034965042,61.002178649237976,-1.44055944055944
,,,,880.1742919389981,1.0629370629370634,47.93028322440159,-1.3426573426573425
,,,,932.4618736383447,0.9090909090909092,30.501089324618988,-1.3006993006993008
,,,,392.15686274509835,1.0909090909090908,26.143790849673223,-1.2727272727272725
,,,,657.9520697167759,1.1328671328671334,21.786492374727914,-1.16083916083916
,,,,736.3834422657956,0.8811188811188808,34.85838779956475,-1.1468531468531467
,,,,840.9586056644885,1.244755244755245,43.57298474945583,-1.174825174825175
,,,,361.6557734204798,0.9230769230769234,61.002178649237976,-1.2727272727272725
,,,,183.00653594771302,1.7202797202797209,69.71677559912905,-1.2727272727272725
,,,,178.64923747276725,1.3566433566433576,78.43137254901967,-1.1888111888111892
,,,,,,78.43137254901967,-1.1468531468531467
,,,,,,104.57516339869335,-1.0629370629370625
,,,,,,113.28976034858442,-1.0069930069930066
,,,,,,108.93246187363866,-0.9790209790209792
,,,,,,78.43137254901967,-0.9930069930069934
,,,,,,65.35947712418329,-1.0629370629370625
,,,,,,39.21568627451052,-1.0629370629370625
,,,,,,21.786492374727914,-1.034965034965035
,,,,,,4.547473508864641e-13,-0.9790209790209792
,,,,,,-4.35729847494531,-0.9230769230769225
,,,,,,30.501089324618988,-0.895104895104895
,,,,,,47.93028322440159,-0.9370629370629366
,,,,,,61.002178649237976,-0.8671328671328675
,,,,,,78.43137254901967,-0.825174825174825
,,,,,,104.57516339869335,-0.9230769230769225
,,,,,,108.93246187363866,-0.9510489510489508
,,,,,,130.71895424836657,-0.895104895104895
,,,,,,108.93246187363866,-1.4825174825174816
,,,,,,148.14814814814827,-1.594405594405595
,,,,,,117.64705882352973,-1.6083916083916083
,,,,,,156.86274509803934,-1.314685314685315
,,,,,,152.50544662309403,-1.3986013986013983
,,,,,,143.79084967320296,-1.2587412587412583
,,,,,,165.57734204793087,-1.16083916083916
,,,,,,26.143790849673223,-0.8531468531468525
,,,,,,13.071895424836839,-0.7972027972027975
,,,,,,13.071895424836839,-0.7832167832167833
,,,,,,21.786492374727914,-0.6713286713286717
,,,,,,43.57298474945583,-0.6293706293706292
,,,,,,47.93028322440159,-0.615384615384615
